description,date,organisation,location,link
Geoserver Essentials, 23-24 January 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to GIS, 6 February 2024, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Essentials, 27-28 February 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to QGIS, 27-28 Feb & 4-5 Mar 2024, Nick Bearman & NCRM, Online, https://www.geospatialtrainingsolutions.co.uk/training-courses
PostGIS Essentials, 12 March 2024, Astun Technology, Online, https://www.astuntechnology.com/training
SQL for Postgres/PostGIS, 13 March 2024, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Advanced, 26 March 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Geoserver Essentials, 9-10 April 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to GIS, 23 April 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to Using R as a GIS, 25-26 April 2024, Nick Bearman & NCRM, Online, https://www.geospatialtrainingsolutions.co.uk/training-courses
QGIS Essentials, 14-15 May 2024, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Advanced, 4 June 2024, Astun Technology, Online, https://www.astuntechnology.com/training
PostGIS Essentials, 11 June 2024, Astun Technology, Online, https://www.astuntechnology.com/training
SQL for Postgres/PostGIS, 12 June 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Geoserver Essentials, 2-3 July 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to GIS, 16 July 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Confident Spatial Analysis and Statistics in R & GeoDa, 16-17 July 2024, Nick Bearman & NCRM, Online, https://www.geospatialtrainingsolutions.co.uk/training-courses
QGIS Essentials, 6-7 August 2024, Astun Technology, Online, https://www.astuntechnology.com/training
PostGIS Essentials, 20 August 2024, Astun Technology, Online, https://www.astuntechnology.com/training
SQL for Postgres/PostGIS, 21 August 2024, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Advanced, 3 September 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Introduction to GIS, 8 October 2024, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Essentials, 29 October 2024, Astun Technology, Online, https://www.astuntechnology.com/training
Geoserver Essentials, 12-13 November 2024, Astun Technology, Online, https://www.astuntechnology.com/training
PostGIS Essentials, 26 November 2024, Astun Technology, Online, https://www.astuntechnology.com/training
SQL for Postgres/PostGIS, 27 November 2024, Astun Technology, Online, https://www.astuntechnology.com/training
QGIS Advanced, 10 December 2024, Astun Technology, Online, https://www.astuntechnology.com/training
